ADC1	ADC2
2123	33
2125	33
2121	30
2122	34
2122	32
2122	32
2118	35
2123	31
2124	33
2122	32
2124	33
2122	35
2122	32
2124	35
2123	38
2126	32
2122	34
2124	34
2123	32
2117	33
2123	32
2123	31
2121	38
2122	34
2122	30
2120	32
2122	35
2126	31
2123	33
2123	33
2123	34
2123	29
2121	32
2122	35
2124	33
2123	34
2122	32
2123	33
2122	35
2123	32
2121	32
2120	32
2123	33
2122	37
2123	30
2120	28
2124	32
2121	32
2122	32
2123	33
2123	32
2122	33
2124	34
2122	32
2122	34
2125	32
2121	33
2122	34
2123	32
2124	32
2119	34
2121	33
2123	32
2121	35
2120	36
2121	34
2122	34
2123	33
2121	30
2118	35
2121	33
2121	29
2121	34
2123	35
2123	35
2124	34
2124	32
2122	34
2122	34
2123	31
2124	32
2122	33
2110	33
2123	34
2121	33
2122	34
2120	35
2124	34
2117	32
2125	30
2121	32
2122	29
2125	34
2125	37
2121	38
2120	33
2124	28
2123	33
2122	32
2124	32
2123	31
2125	32
2120	33
2120	33
2121	34
2123	30
2123	34
2124	33
2123	30
2123	30
2122	32
2124	33
2123	32
2121	32
2123	33
2122	34
2121	31
2123	32
2123	32
2121	30
2123	34
2122	32
2124	33
2123	32
2123	32
2122	37
2124	33
2123	34
2124	33
2122	32
2123	31
2122	34
2123	32
2121	35
2124	32
2119	36
2122	32
2123	33
2125	34
2122	32
2121	34
2122	33
2124	32
2124	33
2124	36
2122	33
2123	31
2124	38
2117	34
2122	35
2124	35
2122	34
2123	30
2123	31
2121	32
2122	33
2124	33
2120	34
2121	32
2124	33
2123	32
2121	35
2121	34
2124	32
2126	34
2123	32
2124	34
2121	34
2122	34
2121	32
2124	30
2125	33
2121	34
2126	33
2121	30
2122	33
2121	33
2120	33
2121	33
2123	34
2123	34
2124	33
2121	30
2124	33
2123	32
2124	32
2121	32
2124	33
2125	32
2123	32
2121	33
2122	34
2120	35
2125	33
2121	33
2121	32
2120	32
2124	33
2126	33
2121	36
2120	32
2124	36
2122	34
2121	31
2124	32
2124	32
2119	29
2122	36
2123	34
2121	29
2123	34
2121	33
2121	32
2120	34
2122	31
2120	34
2123	38
2121	34
2119	32
2125	33
2123	33
2124	33
2120	37
2123	35
2122	32
2123	33
2124	32
2125	33
2122	37
2121	32
2123	34
2123	33
2124	34
2126	33
2125	34
2119	33
2121	35
2121	36
2122	32
2124	31
2123	34
2122	31
2120	33
2122	35
2121	32
2121	32
2120	33
2122	35
2121	37
2123	32
2122	33
2121	34
2123	33
2121	29
2121	32
2118	32
2121	32
2122	32
2121	36
2121	33
2124	32
2122	33
2123	36
2124	34
2120	33
2121	37
2125	35
2126	33
2118	32
2122	37
2120	24
2122	33
2122	31
2120	32
2121	34
2122	37
2122	33
2123	33
2124	33
2122	36
2121	29
2121	32
2123	33
2124	35
2121	35
2124	34
2119	33
2122	33
2121	34
2121	32
2121	33
2121	34
2120	34
2122	34
2121	36
2121	34
2122	33
2121	34
2121	32
2121	36
2121	35
2120	31
2122	35
2123	33
2121	32
2121	32
2122	33
2121	33
2122	33
2123	33
2123	33
2123	34
2121	32
2122	33
2122	32
2122	34
2123	34
2124	33
2122	32
2124	34
2119	41
2126	30
2122	32
2122	34
2124	30
2120	32
2121	37
2121	32
2121	32
2124	32
2122	33
2121	32
2122	30
2121	33
2122	29
2123	32
2121	32
2118	33
2121	32
2121	32
2122	32
2122	34
2122	31
2121	35
2121	32
2123	32
2122	32
2124	34
2121	30
2124	32
2123	33
2123	36
2121	33
2122	34
2121	33
2124	34
2120	33
2120	34
2123	35
2122	32
2121	34
2124	34
2123	32
2119	34
2121	35
2123	34
2121	30
2120	32
2122	34
2121	32
2119	35
2123	32
2122	35
2121	32
2120	34
2122	34
2120	34
2121	30
2121	33
2124	35
2122	32
2121	33
2122	35
2119	36
2120	33
2123	32
2123	37
2122	34
2124	34
2123	30
2124	34
2121	31
2124	33
2118	35
2123	34
2121	33
2122	32
2123	33
2124	33
2122	30
2122	33
2121	33
2121	31
2122	30
2123	32
2124	32
2121	32
2121	35
2122	33
2122	32
2123	33
2121	32
2117	33
2122	28
2123	33
2121	32
2122	32
2121	36
2122	34
2120	32
2121	34
2121	32
2119	29
2121	32
2122	29
2121	34
2119	34
2120	33
2122	32
2124	33
2120	33
2122	35
2121	35
2124	32
2121	32
2123	34
2128	33
2124	37
2124	32
2122	35
2121	34
2121	34
2120	35
2123	34
2124	30
2124	34
2119	33
2119	33
2124	32
2123	33
2122	34
2122	32
2121	35
2122	32
2119	32
2125	33
2119	32
2120	33
2121	33
2122	35
2123	33
2122	33
2124	34
2125	30
2123	33
2121	33
2121	30
2123	32
2124	33
2121	33
2123	32
2123	34
2122	32
2122	33
2120	33
2123	32
2122	32
2123	35
2124	31
2124	32
2123	32
2121	34
2119	33
2123	34
2121	34
2121	34
2124	33
2124	32
2123	32
2121	31
2125	32
2121	34
2120	34
2123	34
2121	32
2121	36
2121	33
2121	32
2120	30
2121	32
2121	34
2123	34
2121	34
2122	32
2118	29
2120	33
2122	34
2121	33
2122	32
2123	30
2122	34
2121	32
2121	34
2121	32
2122	33
2123	29
2121	32
2123	33
2121	33
2120	31
2123	32
2122	33
2120	34
2121	32
2122	33
2121	36
2121	32
2124	36
2122	32
2122	34
2120	34
2123	36
2123	32
2119	32
2119	33
2122	35
2121	34
2122	34
2123	32
2122	36
2120	32
2121	32
2122	32
2123	32
2120	32
2121	32
2123	32
2123	28
2121	30
2122	30
2120	33
2123	32
2122	32
2122	32
2120	32
2123	33
2122	32
2121	34
2122	35
2122	35
2119	32
2126	34
2121	30
2124	33
2121	32
2121	34
2124	33
2119	33
2121	34
2121	32
2122	32
2119	32
2121	33
2122	35
2122	33
2124	36
2121	31
2121	35
2122	37
2123	33
2120	34
2121	32
2118	34
2118	34
2122	32
2122	34
2121	32
2120	32
2124	32
2121	30
2121	33
2123	34
2119	36
2123	32
2117	34
2119	34
2122	33
2120	34
2123	32
2121	34
2123	32
2122	34
2120	29
2122	31
2121	32
2121	30
2119	34
2118	32
2121	33
2121	32
2120	32
2122	32
2120	34
2120	34
2119	32
2124	34
2121	37
2125	30
2123	33
2124	33
2120	33
2121	37
2121	34
2120	32
2119	32
2119	34
2121	30
2119	34
2121	32
2122	31
2123	33
2123	33
2123	32
2121	32
2121	33
2123	32
2122	34
2124	33
2118	33
2120	33
2120	33
2119	31
2123	34
2121	32
2121	30
2123	35
2122	32
2123	32
2120	32
2121	32
2122	32
2121	32
2121	32
2121	32
2123	34
2121	30
2120	32
2120	32
2123	34
2123	34
2122	33
2124	32
2124	35
2123	30
2123	31
2122	34
2121	32
2123	32
2122	33
2122	36
2121	33
2120	34
2121	33
2118	32
2121	33
2125	34
2122	33
2126	34
2121	32
2121	33
2126	33
2120	32
2126	32
2126	32
2120	32
2120	33
2117	34
2121	36
2121	32
2120	32
2121	33
2122	32
2122	33
2121	30
2121	32
2123	30
2119	32
2121	32
2124	33
2124	32
2117	32
2122	33
2120	35
2123	32
2131	33
2121	38
2121	30
2119	30
2122	30
2123	31
2121	30
2122	32
2121	32
2123	30
2120	31
2122	32
2121	34
2121	34
2121	32
2120	33
2121	34
2121	34
2121	35
2122	30
2118	29
2119	35
2122	34
2121	37
2120	34
2121	34
2124	34
2122	33
2125	33
2120	33
2121	32
2120	32
2122	32
2122	32
2120	34
2123	33
2121	34
2119	32
2121	34
2123	32
2121	32
2120	29
2120	35
2133	34
2120	32
2122	33
2120	34
2123	33
2123	34
2122	33
2121	33
2121	36
2122	33
2121	32
2122	33
2121	33
2121	33
2122	34
2122	32
2120	33
2124	34
